"Comment :- clock reset to download data"

"The following data are the ID block contents"
"Firmware Version No",2
"Firmware Build Level",70


"The following data are the Tag notebook contents"
"Mission Day",405
"Last Deployment Date","08/08/2008 09:55:00"
"Deployed by Host Version"," 5.2.0"
"Downloaded by Host Version","6.0.0"
"Last Clock Set Date","05/01/2010 10:34:00"

"The following data are the Lifetime notebook contents"
"Tag ID","A03401"
"Pressure Range ",10
"No of sensors ",2

"The following data are the Deployment notebook contents"
"Start Date","Start Time","Stop Date","Stop Time","Logging Rate","Pointer","PA inc","sensors","Flags","Resolution","Fast Rate",,
"25/08/2008","00:01:00","25/08/2009","00:01:00",30,11776,6,2,0,12,0,0,0
"25/08/2008","00:01:00","25/08/2009","00:01:00",300,1588576,6,4,0,12,0,0,0
"25/08/2009","00:01:00","30/09/2010","00:02:00",300,1746256,12,6,0,12,0,0,0


"The following data are the Daylog contents"
"Mission Day","Date","Max Temp","Min Temp","Max Depth","Min Depth","Batt Volts"
0,"08/08/2008",27.734,25.203,0.06,-0.07,3.06
1,"09/08/2008",25.203,23.859,0.06,-0.07,3.09
2,"10/08/2008",24.016,23.5,-0.07,-0.1,3.09
3,"11/08/2008",26.453,23.281,-0.04,-0.1,3.09
4,"12/08/2008",27.047,23.609,-0.1,-0.26,3.09
5,"13/08/2008",24.625,23.438,-0.04,-0.13,3.09
6,"14/08/2008",26.453,23.156,0.06,-0.04,3.09
7,"15/08/2008",29.391,23.766,0.09,-0.01,3.09
8,"16/08/2008",24.844,23.922,0.03,-0.04,3.09
9,"17/08/2008",24.016,23.547,-0.04,-0.1,3.09
10,"18/08/2008",24.219,23.109,-0.04,-0.13,3.09
11,"19/08/2008",24.859,22.297,-0.04,-0.16,3.09
12,"20/08/2008",23.641,22.25,0.03,-0.07,3.09
13,"21/08/2008",25.094,21.516,0.03,-0.04,3.09
14,"22/08/2008",23.844,23.063,0.06,-0.04,3.09
15,"23/08/2008",23.375,22.797,0.03,-0.01,3.09
16,"24/08/2008",23.609,22.484,0.03,-0.04,3.09
17,"25/08/2008",23.578,22.266,0.06,-0.04,3.09
18,"26/08/2008",23.656,19.781,0.24,-0.07,3.09
19,"27/08/2008",19.781,16.984,14.06,0.12,3.09
20,"28/08/2008",17.813,17.719,15.84,10.09,3.08
21,"29/08/2008",17.828,17.719,17.28,11.09,3.09
22,"30/08/2008",18.063,17.75,17.87,11.25,3.08
23,"31/08/2008",18.109,17.891,18.06,11.09,3.08
24,"01/09/2008",18.078,17.875,18.81,11.46,3.08
25,"02/09/2008",17.875,17.656,19.37,11.5,3.08
26,"03/09/2008",17.672,17.438,19.09,9.71,3.08
27,"04/09/2008",17.578,17.063,22.71,9.21,3.08
28,"05/09/2008",17.281,16.984,37.06,11.75,3.08
29,"06/09/2008",17.203,17.016,39.31,23.53,3.08
30,"07/09/2008",17.047,16.891,30.62,25.71,3.08
31,"08/09/2008",16.906,16.844,28.84,25.56,3.08
32,"09/09/2008",16.906,16.828,28.31,25.53,3.08
33,"10/09/2008",16.984,16.844,28.28,25.71,3.08
34,"11/09/2008",16.953,16.875,29.37,25.78,3.08
35,"12/09/2008",17.047,16.766,29.84,25.28,3.08
36,"13/09/2008",17.078,16.766,31.03,25.56,3.08
37,"14/09/2008",17.063,16.781,32.21,24.43,3.08
38,"15/09/2008",17.078,16.984,31.96,24.78,3.08
39,"16/09/2008",17.047,16.906,33,25.96,3.08
40,"17/09/2008",16.953,16.875,32.21,24.59,3.08
41,"18/09/2008",16.891,16.813,32.18,24.81,3.08
42,"19/09/2008",16.828,16.719,35.56,27.15,3.08
43,"20/09/2008",16.781,16.719,38.12,28.78,3.08
44,"21/09/2008",16.75,16.656,33.75,27.81,3.08
45,"22/09/2008",16.672,16.609,35.12,29.65,3.08
46,"23/09/2008",16.641,16.531,34.4,29.96,3.08
47,"24/09/2008",16.531,16.469,31.59,28,3.08
48,"25/09/2008",16.516,16.422,34.68,29.59,3.08
49,"26/09/2008",16.484,16.375,36.68,23.4,3.08
50,"27/09/2008",16.484,16.359,35.71,28.78,3.08
51,"28/09/2008",16.531,16.375,38.59,27.21,3.08
