name,house,start of reign,end of reign,domain
Wehha,Wuffingas,,571,East Anglia
Wuffa,Wuffingas,571,578,East Anglia
Tytila,Wuffingas,578,616,East Anglia
Rædwald,Wuffingas,616,627,East Anglia
Eorpwald,Wuffingas,627,627,East Anglia
Ricberht,Wuffingas,627,630,East Anglia
Sigeberht and Ecgric,Wuffingas,630,634,East Anglia
Ecgric,Wuffingas,634,,East Anglia
Anna,Wuffingas,,653,East Anglia
Æthelhere,Wuffingas,653,655,East Anglia
Æthelwold,Wuffingas,655,663,East Anglia
Ealdwulf,Wuffingas,663,713,East Anglia
Ælfwald,Wuffingas,713,749,East Anglia
"Hun, Beonna and Alberht",Wuffingas,749,,East Anglia
Æthelred I,Wuffingas,,779,East Anglia
Æthelberht II,Wuffingas,779,794,East Anglia
Offa,Mercia,757,785,"East Anglia, Mercia"
Offa,Mercia,785,787,"East Anglia, Kent, Mercia"
Offa and Ecgfrith,Mercia,787,796,"East Anglia, Kent, Mercia"
Ecgfrith,Mercia,796,796,"East Anglia, Kent, Mercia"
Eadwald,East Anglia,796,800,East Anglia
Cœnwulf,Mercia,796,798,"East Anglia, Kent, Mercia"
Cœnwulf and Cynehelm,Mercia,798,812,"East Anglia, Kent, Mercia"
Cœnwulf,Mercia,812,821,"East Anglia, Kent, Mercia"
Ceolwulf,Mercia,821,823,"East Anglia, Kent, Mercia"
Beornwulf,Mercia,823,826,"East Anglia, Mercia"
Æthelstan,East Anglia,826,845,East Anglia
Æthelweard,East Anglia,845,855,East Anglia
Edmund,East Anglia,855,869,East Anglia
,,869,875,East Anglia
Oswald,Norse,875,875,East Anglia
Æthelred II,Norse,875,879,East Anglia
Guthrum,Dane,879,890,East Anglia
Eohric,Dane,890,902,East Anglia
Æthelwold,Dane,902,902,East Anglia
Guthrum II,Dane,902,918,East Anglia
Aescwine,East Saxon,527,587,Essex
Sledda,East Saxon,587,604,Essex
Saebert,East Saxon,604,616,Essex
Saeward,East Saxon,616,617,Essex
Sigeberht the Little,East Saxon,617,653,Essex
Sigeberht the Good,East Saxon,653,660,Essex
Swithelm,East Saxon,660,664,Essex
Sighere and Sebbi,East Saxon,664,683,Essex
Sebbi,East Saxon,683,694,Essex
Sigeheard,East Saxon,694,695,Essex
Sigeheard and Swaefred,East Saxon,695,709,Essex
Offa,East Saxon,709,709,Essex
Saelred,East Saxon,709,715,Essex
Swaefbert,East Saxon,715,738,Essex
,,738,746,Essex
Svvithred,East Saxon,746,758,Essex
Sigeric,East Saxon,758,798,Essex
Sigered,East Saxon,798,812,Essex
Hengist,Kent,,,Kent
Horsa,Kent,,,Kent
Oisc,Kent,,,Kent
Octa,Kent,512,534,Kent
Eormenric,Kent,534,590,Kent
Æðelberht I,Kent,590,616,Kent
Eadbald,Kent,616,640,Kent
Æðelwald,Kent,,,Kent
Eorcenberht and Eormenred,Kent,640,,Kent
Eorcenberht,Kent,,664,Kent
Ecgbehrt I,Kent,664,673,Kent
Hlothhere,Kent,674,685,Kent
