"Year","Series","Character","Gender","Father","Mother","Eyes","Hair","Notes"
"1963","Yuki no Taiyou","Sanae","F","Japanese","American",,,
"1964","Cyborg 009","Joe Shimamura","M","American","Japanese","brown","brown","TVTropes says half-Japanese (mother), half-American (father), and in the manga he was bullied because of that; I did not find any other online sources specifying the parents, and do not have the manga handy."
"1967","Lupin III","Lupin III","M","French?","Japanese?","black","black","Wikipedia discusses the ambiguity."
"1967","Nekome Kozou","Cat-Eyed Boy","M","Japanese","Fantasy","brown",,
"1972","Gatchaman","Jun the Swan","F",,,"green","green","Information about Jun is very scarce; asked"
"1974","Great Mazinger","Jun Hono","F","American","Japanese","black","black",
"1975","Ichigo Monogatari","Ichigo","F","Scandinavian?","Japanese?","brown","brown","Baka-Updates describes the plot: Ichigo is a fourteen year old half Japanese girl that grew up in Lapland. After the death of her father, she moves to Japan where she is hosted by Ikuta Rintaro and his family., translating from an Italian website. Making matters worse, the Lapland region is claimed in parts by Norway, Sweden, Finland and Russia."
"1976","Kochira Katsushika-ku...","Reiko Katherine Akimoto","F","Japanese?","French?","blue","blond","Asked"
"1977","Haikara-san ga Tooru","Shinobu Iijyuin","M","Japanese","German","blue","blond",
"1979","Mobile Suit Gundam","Amuro Ray","M","Japanese","Canadian","blue","brown","TvTropes says Ray's mother is Canadian, and was changed to Mexican in a much later Gundam anime; the Gundam Wikia says she is either American or Canadian but it is not specified."
"1981","GoShogun","Remy Shimada","F","Japanese","French","blue","blond","Alan Takahashi's Anime Pocket Guide compiled for rec.arts.anime comments of a later GoShogun movie that Remy's mother was a French prostitute, so Remy has a tainted and confused past."
"1982","Macross","Lynn Minmay","F","Chinese?","Japanese?","blue","blue","The father-mother mix is unclear; it may be Japanese-Chinese."
"1982","Yukan Club","Bido Granmarie","M","Swedish","Japanese",,"blond",
"1983","Adolf","Adolf Kaufmann","M","German","Japanese",,,
"1983","Rean no Tsubasa","Asap Suzuki","M","American","Japanese",,"blond","Google Translate of official profile: Has a Japanese mother and an American father."
"1986","Mad Bull 34","Daizaburo Eddie Ban","M","Japanese?","American?","brown","black",
"1986","Pineapple Army","Jed Goshi","M","Japanese?","American?","black","black",
"1986","Saint Seiya","Cygnus Hyoga","M","Japanese","Russian","blue","blond",
"1987","Hanasakeru Seishounen","Kajika Burnsworth","F","American","Japanese","grey","brown",
"1987","Lady!!","Lynn Russell","F","English","Japanese","red","blond",
"1987","Magic Kaito","Saguru Hakuba","M","Japanese","English","brown","brown",
"1987","Metal Gear","Solid Snake","M","American","Japanese","blue","brown",
"1988","Master Keaton","Taichi Hiraga-Keaton","M","Japanese","English","black","black",
"1988","Mobile Police Patlabor","Kanuka Clancy","F","American","Japanese?","black","black","Asked."
"1988","Vampire Princess Miyu (OVA)","Miyu","F","Japanese","Fantasy","brown","brown",
"1989","Ijigen kara no Tayori","Mami Takamizawa","F","Japanese","American","blue","blond","Second story in the anthology."
"1989","JoJo's Bizarre Adventure","Jotaro Kujo","M","Japanese","English","green","blue",
"1989","Street Fighter","Ken Masters","M","American","Japanese","brown","blond",
"1990","Itazura na Kiss",,,"Japanese","English","blue","blond",
"1990","Itazura na Kiss",,,"Japanese","English","blue","blond",
"1990","Itazura na Kiss",,,"Japanese","English","blue","blond","TvTropes: Englishwoman Christine Chris Robbins has a thing for Japanese men and go to Japan specifically to find one to date and marry. At first she's interested in male lead Naoki, but ends up marrying Kotoko's former Dogged Nice Guy Kinnosuke. They have three kids, with their dad's features and their mom's eye/hair color scheme."
"1990","Metal Gear 2: Solid Snake","Kazuhira Miller","M","American","Japanese","blue","blond",
"1990","Slam Dunk","Michael Okita","M","Japanese","American","blue","blond",
